Date,StationID,PassengerCount,Entries,Exits
2026-08-13,ST003,30216,14506,15642
2026-08-13,ST004,9420,4711,4821
2026-08-13,ST005,27711,13309,13855
2026-08-13,ST006,9022,4760,4558
2026-08-13,ST007,27178,14027,14330
2026-08-13,ST008,8430,4097,4154
2026-08-14,ST001,27554,13811,14083
2026-08-14,ST002,8710,4502,4264
2026-08-14,ST003,31528,15762,16016
2026-08-14,ST004,10507,5558,5365
2026-08-14,ST005,33019,17165,16965
2026-08-14,ST006,-240,-240,0
2026-08-14,ST007,25625,12249,12224
2026-08-14,ST008,9433,4598,4589
2026-08-15,ST001,21312,10465,10376
2026-08-15,ST002,8054,3856,3941
2026-08-15,ST003,21819,10258,11268
2026-08-15,ST004,5982,2969,2811
2026-08-15,ST005,18796,9948,9310
2026-08-15,ST006,7463,3546,3552
2026-08-15,ST007,22987,11695,11884
2026-08-15,ST008,7442,3737,3772
2026-08-16,ST001,22122,10412,11056
2026-08-16,ST002,5888,2902,2820
2026-08-16,ST003,20043,10413,10107
2026-08-16,ST004,5934,2789,3023
2026-08-16,ST005,19021,9456,9206
2026-08-16,ST006,7006,3693,3652
2026-08-16,ST007,23416,11046,11965
2026-08-16,ST008,6427,3159,3230
2026-08-17,ST001,28823,14682,14007
2026-08-17,ST002,8172,3927,4234
2026-08-17,ST003,32581,16490,17113
2026-08-17,ST004,9668,4921,4942
2026-08-17,ST005,29044,14064,13737
2026-08-17,ST006,9525,4511,4906
2026-08-17,ST007,26191,13207,13121
2026-08-17,ST008,8373,4165,4374
2026-08-18,ST001,25407,12799,12095
2026-08-18,ST002,10896,5672,5682
2026-08-18,ST003,27694,13336,14400
2026-08-18,ST004,10716,5285,5141
2026-08-18,ST005,26490,13899,13479
2026-08-18,ST006,9742,4765,4660
2026-08-18,ST007,29799,15508,15572
2026-08-18,ST008,8334,4410,4363
2026-08-19,ST001,30626,15637,15545
2026-08-19,ST002,8236,4304,3997
2026-08-19,ST003,26498,13596,12641
2026-08-19,ST004,8623,4386,4289
2026-08-19,ST005,30261,14463,15541
2026-08-19,ST006,10880,5143,5284
2026-08-19,ST007,29142,14853,14131
2026-08-19,ST008,9395,4898,4667
2026-08-20,ST001,32595,16415,16531
2026-08-20,ST002,10997,5391,5668
2026-08-20,ST003,29971,15847,15733
2026-08-20,ST004,10727,5110,5286
2026-08-20,ST005,32652,16803,15744
2026-08-20,ST006,8532,4308,4140
2026-08-20,ST007,31460,15239,15998
2026-08-20,ST008,8794,4495,4145
2026-08-21,ST001,24231,12239,12407
2026-08-21,ST002,10228,5146,5147
2026-08-21,ST003,29004,14642,15287
2026-08-21,ST004,10118,5036,4973
2026-08-21,ST005,26415,13037,13827
2026-08-21,ST006,9597,4915,4810
2026-08-21,ST007,25563,12255,12937
2026-08-21,ST008,11188,5354,5649
2026-08-22,ST001,20448,10407,10251
2026-08-22,ST002,7143,3478,3732
2026-08-22,ST003,22393,11852,11300
2026-08-22,ST004,5905,3053,2956
2026-08-22,ST005,23631,11666,11937
2026-08-22,ST006,6526,3385,3292
2026-08-22,ST007,23538,11227,11158
2026-08-22,ST008,6471,3327,3132
2026-08-23,ST001,22267,10886,11665
2026-08-23,ST002,6889,3279,3387
2026-08-23,ST003,22590,10883,11701
2026-08-23,ST004,7355,3727,3661
2026-08-23,ST005,21287,10405,10838
2026-08-23,ST006,6423,3032,3156
2026-08-23,ST007,20876,10749,10910
2026-08-23,ST008,7813,3775,3709
2026-08-24,ST001,26515,13819,12752
2026-08-24,ST002,8628,4295,4464
2026-08-24,ST003,30668,15667,14988
2026-08-24,ST004,9947,5142,4958
2026-08-24,ST005,31171,16021,14690
2026-08-24,ST006,9708,4701,4982
2026-08-24,ST007,29021,13807,14787
2026-08-24,ST008,10992,5534,5785
2026-08-25,ST001,30577,15518,14699
2026-08-25,ST002,9530,4488,4556
2026-08-25,ST003,30377,15609,15327
2026-08-25,ST004,9483,4782,4485
2026-08-25,ST005,24882,12208,12673
2026-08-25,ST006,10924,5651,5539
2026-08-25,ST007,28636,13800,15120
2026-08-25,ST008,11055,5679,5541
2026-08-26,ST001,27901,14205,14086
2026-08-26,ST002,8731,4225,4463
2026-08-26,ST003,30459,14615,14729
2026-08-26,ST004,9157,4707,4512
2026-08-26,ST005,31927,16687,15476
2026-08-26,ST006,9964,4876,5070
2026-08-26,ST007,29564,14898,15064
2026-08-26,ST008,9822,4858,4663
2026-08-27,ST001,27382,13643,13070
2026-08-27,ST002,8174,4331,4044
2026-08-27,ST003,32343,15502,16095
2026-08-27,ST004,10730,5497,5245
2026-08-27,ST005,28056,13758,14000
2026-08-27,ST006,10436,5030,5084
2026-08-27,ST007,29002,13754,14698
2026-08-27,ST008,8606,4406,4388
2026-08-28,ST001,25221,12695,11961
2026-08-28,ST002,10334,5201,5366
2026-08-28,ST003,32173,16146,15874
2026-08-28,ST004,9964,5008,5079
2026-08-28,ST005,28166,14098,14170
2026-08-28,ST006,9770,4637,5113
2026-08-28,ST007,28673,13973,13537
2026-08-28,ST008,8213,4080,4258
2026-08-29,ST001,19549,10070,9672
2026-08-29,ST002,6200,3166,3271
2026-08-29,ST003,22170,11338,10659
2026-08-29,ST004,7756,3969,3763
2026-08-29,ST005,19844,9851,9912
2026-08-29,ST006,6108,3199,2925
2026-08-29,ST007,22032,11616,11436
2026-08-29,ST008,6841,3374,3540
2026-08-30,ST001,17443,8321,9042
2026-08-30,ST002,7678,3661,3882
2026-08-30,ST003,18909,8904,9439
2026-08-30,ST004,6306,3030,3217
2026-08-30,ST005,21161,10934,10359
2026-08-30,ST006,6667,3188,3474
2026-08-30,ST007,18733,9785,9083
2026-08-30,ST008,7399,3765,3517
