Date,StationID,PassengerCount,EnergyKwh,WeatherDescription,TemperatureC,TariffBand,MeterReadQuality
2026-08-18,ST005,29662,2289.7,Hot,23.1,Standard,Actual
2026-08-18,ST006,9022,1225.3,Heavy rain,24.4,Standard,Actual
2026-08-18,ST007,28777,2341.1,Hot,9.5,Green,Actual
2026-08-18,ST008,10716,1095.1,Rain,22.5,Standard,Actual
2026-08-19,ST001,30466,2222.4,hot,20.6,Standard,Actual
2026-08-19,ST002,9141,920.5,Cloudy,22.0,Standard,Actual
2026-08-19,ST003,31391,2486.5,Rain,22.1,Green,Estimated
2026-08-19,ST004,8726,1030.8,hot,25.2,Standard,Actual
2026-08-19,ST005,24718,2476.2,Cloudy,18.0,Standard,Actual
2026-08-19,ST006,9475,1136.2,Heavy rain,26.4,Standard,Actual
2026-08-19,ST007,24240,2122.3,Clear,20.3,Green,Actual
2026-08-19,ST008,10266,945.9,Heavy rain,17.0,Standard,Estimated
2026-08-20,ST001,26436,2446.9,Hot,26.5,Standard,Actual
2026-08-20,ST002,10227,938.4,Heavy rain,22.3,Standard,Actual
2026-08-20,ST003,26515,2659.2,Heavy rain,21.4,Green,Estimated
2026-08-20,ST004,8362,931.5,hot,14.7,Peak,Actual
2026-08-20,ST005,24184,2248.4,Cloudy,18.1,Standard,Actual
2026-08-20,ST006,11098,887.7,hot,14.5,Standard,Estimated
2026-08-20,ST007,25835,2469.3,Clear,25.7,Green,Estimated
2026-08-20,ST008,10544,812.8,Cloudy,21.5,Standard,Actual
2026-08-21,ST001,32856,2136.5,hot,22.7,Standard,Actual
2026-08-21,ST002,10644,925.0,Clear,20.1,Peak,Actual
2026-08-21,ST003,31864,2749.3, COLD ,24.7,Green,Actual
2026-08-21,ST004,11019,947.7,Clear,11.8,Standard,Actual
2026-08-21,ST005,26050,2429.7,Cloudy,18.4,Standard,Estimated
2026-08-21,ST006,11052,1060.5,Cloudy,26.5,Peak,Actual
2026-08-21,ST007,29080,2801.2,Hot,23.8,Green,Estimated
2026-08-21,ST008,8584,1273.9,Heavy rain,23.3,Standard,Actual
2026-08-22,ST001,19212,2092.9,Clear,13.5,Peak,Estimated
2026-08-22,ST002,6667,942.0,Rain,17.8,Peak,Actual
2026-08-22,ST003,18710,2290.9,Clear,18.9,Green,Estimated
2026-08-22,ST004,5970,788.1, COLD ,17.8,Standard,Actual
2026-08-22,ST005,19765,2181.9,Cloudy,18.3,Standard,Estimated
2026-08-22,ST006,7458,1039.7,Heavy rain,21.2,Peak,Actual
2026-08-22,ST007,22932,2215.0,Cloudy,12.9,Green,Actual
2026-08-22,ST008,7195,942.2, COLD ,18.6,Standard,Estimated
2026-08-23,ST001,20447,2316.9, COLD ,15.9,Peak,Actual
2026-08-23,ST002,6941,1117.6,Rain,19.4,Standard,Actual
2026-08-23,ST003,18381,2429.6,Cloudy,18.2,Green,Actual
2026-08-23,ST004,7016,1017.0,Cloudy,9.6,Peak,Actual
2026-08-23,ST005,17897,2574.7,Rain,23.0,Standard,Estimated
2026-08-23,ST006,7012,832.9,Clear,21.6,Standard,Actual
2026-08-23,ST007,20556,2118.5,Cloudy,13.2,Green,Actual
2026-08-23,ST999,6929,953.9,Hot,9.6,Peak,Actual
2026-08-24,ST001,27878,2587.7,Heavy rain,21.6,Standard,Actual
2026-08-24,ST002,9267,955.1,Hot,19.0,Standard,Actual
2026-08-24,ST003,29902,2426.3,Hot,12.1,Green,Actual
2026-08-24,ST004,9452,963.8,Hot,19.3,Standard,Actual
2026-08-24,ST005,28114,1993.2,Cloudy,12.3,Peak,Actual
2026-08-24,ST006,8250,1176.1,Heavy rain,18.4,Standard,Actual
2026-08-24,ST007,30330,2241.1,Cloudy,19.6,Green,Estimated
2026-08-24,ST008,10070,977.5,Hot,22.8,Peak,Actual
2026-08-25,ST001,28502,2866.7,Rain,16.6,Standard,Actual
2026-08-25,ST002,11092,1238.1,Rain,11.9,Peak,Actual
2026-08-25,ST003,29422,2504.3,Rain,22.9,Green,Estimated
2026-08-25,ST004,8734,855.4,Clear,20.2,Peak,Actual
2026-08-25,ST005,26057,2813.5,hot,10.3,Standard,Estimated
2026-08-25,ST006,10499,876.6,Hot,15.4,Peak,Estimated
2026-08-25,ST007,27774,2395.2,hot,16.8,Green,Actual
2026-08-25,ST008,9569,958.8,Cloudy,11.5,Peak,Actual
2026-08-26,ST001,24934,2398.0,hot,14.4,Peak,Estimated
2026-08-26,ST002,10560,887.6,Cloudy,11.4,Peak,Actual
2026-08-26,ST003,24882,2188.9,hot,16.4,Green,Actual
2026-08-26,ST004,8599,858.2,hot,21.0,Peak,Actual
2026-08-26,ST005,28636,2419.7,hot,10.8,Peak,Actual
2026-08-26,ST006,8358,1286.0,Rain,24.8,Standard,Actual
2026-08-26,ST007,25380,2421.0,Hot,25.5,Green,Actual
2026-08-26,ST008,9610,781.2,Cloudy,12.5,Standard,Actual
2026-08-27,ST001,29400,2382.8,Hot,20.5,Standard,Actual
2026-08-27,ST002,10267,918.5,Cloudy,17.3,Standard,Actual
2026-08-27,ST003,27490,2171.7, COLD ,12.1,Green,Actual
2026-08-27,ST004,9997,896.4,Clear,13.4,Peak,Actual
2026-08-27,ST005,24914,2942.2,Rain,14.8,Standard,Estimated
2026-08-27,ST006,10626,839.0,Hot,13.2,Standard,Actual
2026-08-27,ST007,25099,2825.3,Rain,15.1,Green,Actual
2026-08-27,ST008,9188,1099.2, COLD ,23.7,Standard,Actual
2026-08-28,ST001,29693,2326.5, COLD ,12.0,Standard,Actual
2026-08-28,ST002,9089,799.1,Hot,14.4,Standard,Actual
2026-08-28,ST003,24474,2029.8, COLD ,19.7,Green,Estimated
2026-08-28,ST004,9915,1020.5,Cloudy,10.3,Standard,Estimated
2026-08-28,ST005,25367,2187.9,Hot,13.6,Standard,Actual
2026-08-28,ST006,8557,933.7,Clear,16.3,Standard,Actual
2026-08-28,ST007,30704,2258.4,hot,19.3,Green,Estimated
2026-08-28,ST008,10241,1122.9,Rain,14.4,Peak,Actual
2026-08-29,ST001,21096,2476.5,Hot,26.8,Standard,Actual
2026-08-29,ST002,6997,963.2,Hot,23.8,Standard,Actual
2026-08-29,ST003,17842,2520.3,Hot,10.6,Green,Actual
2026-08-29,ST004,7652,988.3,Hot,9.5,Standard,Actual
2026-08-29,ST005,21589,2814.3,Rain,23.5,Peak,Actual
2026-08-29,ST006,7378,951.6,Heavy rain,17.5,Standard,Actual
2026-08-29,ST007,21790,1986.1,Cloudy,14.6,Green,Actual
2026-08-29,ST008,7328,980.3,Clear,20.5,Standard,Estimated
2026-08-30,ST001,17785,2082.1,Cloudy,20.0,Standard,Actual
2026-08-30,ST002,7475,1002.1, COLD ,23.1,Standard,Estimated
2026-08-30,ST003,19653,2011.6,hot,14.5,Green,Actual
2026-08-30,ST004,5963,935.2,Clear,15.1,Standard,Actual
2026-08-30,ST005,21280,2447.8, COLD ,19.6,Standard,Actual
2026-08-30,ST006,5898,906.8,Clear,21.7,Standard,Estimated
2026-08-30,ST007,20562,2427.6,Clear,20.3,Green,Actual
2026-08-30,ST008,6136,906.5,Cloudy,22.0,Standard,Estimated
