Date,StationID,EnergyKwh,MeterReadQuality,TariffBand
2026-08-16,ST005,2204.8,Actual,Standard
2026-08-16,ST006,1129.7,Actual,Standard
2026-08-16,ST007,2495.1,Estimated,Standard
2026-08-16,ST008,1065.9,Estimated,Peak
2026-08-17,ST001,2537.1,Actual,Standard
2026-08-17,ST002,1068.8,Actual,Peak
2026-08-17,ST003,3259.9,Actual,Standard
2026-08-17,ST004,857.9,Estimated,Peak
2026-08-17,ST005,2387.5,Actual,Standard
2026-08-17,ST006,982.8,Actual,Peak
2026-08-17,ST007,2945.7,Actual,Peak
2026-08-17,ST008,1059.0,Actual,Peak
2026-08-18,ST001,2531.9,Actual,Standard
2026-08-18,ST002,1065.6,Actual,Standard
2026-08-18,ST003,2483.0,Actual,Standard
2026-08-18,ST004,928.0,Actual,Standard
2026-08-18,ST005,2474.6,Actual,Standard
2026-08-18,ST006,954.1,Estimated,Peak
2026-08-18,ST007,2185.1,Actual,Standard
2026-08-18,ST008,1115.4,Actual,Standard
2026-08-19,ST001,3188.9,Actual,Standard
2026-08-19,ST002,856.0,Actual,Standard
2026-08-19,ST003,2219.6,Actual,Peak
2026-08-19,ST004,885.7,Actual,Standard
2026-08-19,ST005,2774.3,Actual,Standard
2026-08-19,ST006,943.1,Estimated,Standard
2026-08-19,ST007,2777.0,Actual,Standard
2026-08-19,ST008,1030.5,Estimated,Standard
2026-08-20,ST001,2447.1,Estimated,Standard
2026-08-20,ST002,1130.9,Actual,Peak
2026-08-20,ST003,2676.7,Estimated,Standard
2026-08-20,ST004,868.4,Actual,Peak
2026-08-20,ST005,3346.9,Actual,Standard
2026-08-20,ST006,1187.4,Actual,Standard
2026-08-20,ST007,2291.1,Actual,Standard
2026-08-20,ST008,1061.0,Actual,Peak
2026-08-21,ST001,1983.4,Actual,Peak
2026-08-21,ST002,1084.0,Actual,Standard
2026-08-21,ST003,2123.4,Actual,Peak
2026-08-21,ST004,948.8,Actual,Standard
2026-08-21,ST005,2520.0,Actual,Standard
2026-08-21,ST006,782.9,Actual,Standard
2026-08-21,ST007,2397.5,Actual,Standard
2026-08-21,ST008,921.8,Estimated,Peak
2026-08-22,ST001,2563.1,Actual,Peak
2026-08-22,ST002,1039.2,Actual,Standard
2026-08-22,ST003,2713.8,Estimated,Standard
2026-08-22,ST004,996.6,Actual,Standard
2026-08-22,ST005,3206.2,Actual,Peak
2026-08-22,ST006,995.4,Actual,Peak
2026-08-22,ST007,2941.5,Actual,Standard
2026-08-22,ST008,1099.8,Actual,Standard
2026-08-23,ST001,2465.1,Actual,Peak
2026-08-23,ST002,924.7,Estimated,Peak
2026-08-23,ST003,2114.9,Estimated,Standard
2026-08-23,ST004,873.9,Actual,Standard
2026-08-23,ST005,2025.3,Actual,Standard
2026-08-23,ST006,802.3,Actual,Standard
2026-08-23,ST007,2563.1,Estimated,Peak
2026-08-23,ST999,810.5,Estimated,Standard
2026-08-24,ST001,2442.6,Estimated,Standard
2026-08-24,ST002,1024.2,Estimated,Standard
2026-08-24,ST003,2846.8,Estimated,Standard
2026-08-24,ST004,776.0,Actual,Peak
2026-08-24,ST005,2420.5,Actual,Standard
2026-08-24,ST006,912.6,Actual,Peak
2026-08-24,ST007,2613.0,Actual,Standard
2026-08-24,ST008,1259.6,Actual,Standard
2026-08-25,ST001,2090.5,Actual,Peak
2026-08-25,ST002,781.8,Actual,Peak
2026-08-25,ST003,2598.9,Actual,Standard
2026-08-25,ST004,900.0,Actual,Standard
2026-08-25,ST005,2582.9,Actual,Standard
2026-08-25,ST006,958.3,Actual,Standard
2026-08-25,ST007,2663.5,Actual,Standard
2026-08-25,ST008,1150.0,Actual,Standard
2026-08-26,ST001,2168.4,Actual,Standard
2026-08-26,ST002,911.9,Actual,Peak
2026-08-26,ST003,2201.6,Estimated,Standard
2026-08-26,ST004,869.6,Actual,Peak
2026-08-26,ST005,2287.6,Estimated,Standard
2026-08-26,ST006,971.3,Actual,Standard
2026-08-26,ST007,2461.4,Actual,Standard
2026-08-26,ST008,1093.2,Estimated,Standard
2026-08-27,ST001,2413.8,Actual,Standard
2026-08-27,ST002,1066.4,Actual,Peak
2026-08-27,ST003,2874.5,Actual,Standard
2026-08-27,ST004,962.8,Actual,Standard
2026-08-27,ST005,3300.9,Actual,Standard
2026-08-27,ST006,945.1,Actual,Standard
2026-08-27,ST007,2439.9,Actual,Standard
2026-08-27,ST008,1292.7,Estimated,Standard
2026-08-28,ST001,2675.2,Actual,Standard
2026-08-28,ST002,1015.2,Estimated,Standard
2026-08-28,ST003,2413.0,Actual,Standard
2026-08-28,ST004,859.6,Estimated,Standard
2026-08-28,ST005,2813.6,Actual,Standard
2026-08-28,ST006,1061.9,Estimated,Peak
2026-08-28,ST007,2169.6,Actual,Standard
2026-08-28,ST008,1094.8,Actual,Peak
2026-08-29,ST001,2599.1,Actual,Standard
2026-08-29,ST002,939.2,Estimated,Standard
2026-08-29,ST003,2420.7,Actual,Peak
2026-08-29,ST004,1058.2,Actual,Standard
2026-08-29,ST005,3339.2,Actual,Standard
2026-08-29,ST006,1049.1,Estimated,Standard
2026-08-29,ST007,2563.6,Actual,Standard
2026-08-29,ST008,817.2,Actual,Standard
2026-08-30,ST001,2868.1,Actual,Standard
2026-08-30,ST002,909.6,Actual,Standard
2026-08-30,ST003,2037.2,Estimated,Standard
2026-08-30,ST004,1078.2,Estimated,Standard
2026-08-30,ST005,2407.3,Actual,Standard
2026-08-30,ST006,946.9,Actual,Standard
2026-08-30,ST007,2524.8,Estimated,Peak
2026-08-30,ST008,803.7,Actual,Standard
