Date,StationID,WeatherDescription,TemperatureC,RainfallMm
2026-08-14,ST004,Rain,20.8,7.2
2026-08-14,ST005,Rain,17.7,6.3
2026-08-14,ST006,Hot,9.5,0.9
2026-08-14,ST007, COLD ,21.1,0.6
2026-08-14,ST008,Heavy rain,24.1,9.7
2026-08-15,ST001, COLD ,23.1,1.1
2026-08-15,ST002,Cloudy,24.6,0.5
2026-08-15,ST003,Heavy rain,24.8,13.2
2026-08-15,ST004, COLD ,20.3,1.9
2026-08-15,ST005,Clear,21.2,0.3
2026-08-15,ST006,Cloudy,20.3,1.5
2026-08-15,ST007,Hot,12.7,1.6
2026-08-15,ST008,Heavy rain,22.8,5.0
2026-08-16,ST001,Clear,22.3,0.7
2026-08-16,ST002,Clear,24.5,1.9
2026-08-16,ST003,Heavy rain,14.8,2.1
2026-08-16,ST004,hot,18.7,1.7
2026-08-16,ST005, COLD ,14.7,1.9
2026-08-16,ST006,Rain,21.2,10.0
2026-08-16,ST007,Hot,9.9,0.3
2026-08-16,ST008,Hot,26.9,1.0
2026-08-17,ST001,Cloudy,22.8,1.6
2026-08-17,ST002,Cloudy,25.5,1.7
2026-08-17,ST003,Heavy rain,26.1,17.4
2026-08-17,ST004,Hot,15.8,0.3
2026-08-17,ST005,Hot,25.7,1.1
2026-08-17,ST006,Heavy rain,13.7,12.0
2026-08-17,ST007,Heavy rain,14.4,10.3
2026-08-17,ST008,Heavy rain,16.0,14.2
2026-08-18,ST001, COLD ,19.6,0.6
2026-08-18,ST002, COLD ,9.4,1.4
2026-08-18,ST003,Hot,23.0,1.7
2026-08-18,ST004, COLD ,13.7,1.1
2026-08-18,ST005,Clear,16.4,1.2
2026-08-18,ST006,Clear,13.3,0.1
2026-08-18,ST007,hot,17.6,0.4
2026-08-18,ST008,Cloudy,24.4,2.0
2026-08-19,ST001,Rain,26.1,4.5
2026-08-19,ST002,Clear,18.1,1.1
2026-08-19,ST003,Cloudy,19.9,0.2
2026-08-19,ST004,Hot,10.6,2.0
2026-08-19,ST005,Heavy rain,17.6,17.7
2026-08-19,ST006,Heavy rain,17.7,5.7
2026-08-19,ST007,hot,26.6,0.7
2026-08-19,ST008,Heavy rain,13.2,2.1
2026-08-20,ST001,Clear,15.5,0.9
2026-08-20,ST002,Heavy rain,16.1,0.8
2026-08-20,ST003,Rain,19.9,13.7
2026-08-20,ST004, COLD ,14.1,0.1
2026-08-20,ST005,Rain,26.6,15.6
2026-08-20,ST006,Rain,9.7,6.0
2026-08-20,ST007,Clear,26.7,1.8
2026-08-20,ST008,hot,23.9,1.4
2026-08-21,ST001,Hot,21.1,0.1
2026-08-21,ST002, COLD ,25.5,0.2
2026-08-21,ST003,Clear,14.2,0.7
2026-08-21,ST004,Rain,14.0,5.5
2026-08-21,ST005,Hot,25.1,1.2
2026-08-21,ST006,Clear,17.2,1.7
2026-08-21,ST007,hot,10.4,1.6
2026-08-21,ST008,Cloudy,24.6,1.5
2026-08-22,ST001,Hot,11.3,0.7
2026-08-22,ST002,Rain,16.7,7.4
2026-08-22,ST003,Rain,17.7,13.9
2026-08-22,ST004, COLD ,24.3,1.4
2026-08-22,ST005,Rain,10.6,9.3
2026-08-22,ST006, COLD ,26.0,1.4
2026-08-22,ST007,Heavy rain,17.3,11.4
2026-08-22,ST008,hot,26.0,0.5
2026-08-23,ST001,Clear,18.7,1.8
2026-08-23,ST002,Clear,21.4,1.7
2026-08-23,ST003, COLD ,22.0,1.5
2026-08-23,ST004,hot,17.8,1.9
2026-08-23,ST005,Clear,16.3,1.4
2026-08-23,ST006,hot,14.1,1.8
2026-08-23,ST007,hot,11.4,0.9
2026-08-23,ST008,Cloudy,16.9,1.3
2026-08-24,ST001,Hot,20.7,0.6
2026-08-24,ST002,Rain,17.9,5.9
2026-08-24,ST003,hot,10.7,0.6
2026-08-24,ST004,Cloudy,16.1,1.2
2026-08-24,ST005,Cloudy,11.3,0.8
2026-08-24,ST006,Clear,22.2,1.3
2026-08-24,ST007,Rain,20.0,0.8
2026-08-24,ST008,Heavy rain,24.0,7.5
2026-08-25,ST001,Cloudy,18.6,1.5
2026-08-25,ST002,hot,16.1,1.8
2026-08-25,ST003,Clear,23.8,0.2
2026-08-25,ST004,Cloudy,23.2,0.8
2026-08-25,ST005,Heavy rain,21.1,13.9
2026-08-25,ST006,Rain,18.5,1.0
2026-08-25,ST007,Rain,21.8,10.1
2026-08-25,ST008,Rain,13.1,12.2
2026-08-26,ST001,Hot,14.6,1.4
2026-08-26,ST002,Hot,22.7,0.7
2026-08-26,ST003, COLD ,15.7,0.8
2026-08-26,ST004,Cloudy,17.2,0.6
2026-08-26,ST005,Hot,23.2,1.1
2026-08-26,ST006,Cloudy,21.8,1.4
2026-08-26,ST007,Hot,11.9,0.3
2026-08-26,ST008,Heavy rain,9.1,10.8
2026-08-27,ST001,Clear,15.8,1.7
2026-08-27,ST002,hot,9.4,0.7
2026-08-27,ST003,Heavy rain,17.6,15.6
2026-08-27,ST004,Heavy rain,19.3,0.6
2026-08-27,ST005,Heavy rain,9.4,15.7
2026-08-27,ST006, COLD ,9.4,1.1
2026-08-27,ST007,hot,13.9,0.7
2026-08-27,ST008,Rain,25.1,14.2
2026-08-28,ST001, COLD ,10.9,0.6
2026-08-28,ST002,Clear,24.1,0.4
2026-08-28,ST003,Clear,20.5,1.2
2026-08-28,ST004,hot,20.3,0.9
2026-08-28,ST005,Hot,23.2,0.9
2026-08-28,ST006, COLD ,24.5,0.2
2026-08-28,ST007,hot,17.4,1.8
2026-08-28,ST008,Cloudy,11.0,0.5
2026-08-29,ST001,Cloudy,10.5,0.8
2026-08-29,ST002,Clear,24.7,1.4
2026-08-29,ST003,Hot,22.2,1.1
2026-08-29,ST004,hot,11.3,0.9
2026-08-29,ST005,Rain,26.9,16.7
2026-08-29,ST006,Hot,10.3,1.3
2026-08-29,ST007,Clear,23.6,1.0
2026-08-29,ST008,Clear,12.4,1.3
2026-08-30,ST001,Rain,15.1,12.0
2026-08-30,ST002,Hot,10.8,1.2
2026-08-30,ST003,Cloudy,19.5,0.0
2026-08-30,ST004,hot,23.3,0.1
2026-08-30,ST005,Cloudy,14.9,0.2
2026-08-30,ST006,Rain,13.9,8.3
2026-08-30,ST007,Heavy rain,17.5,7.8
2026-08-30,ST008,Cloudy,16.3,1.0
